iteration,update_mode,relative_residual,absolute_residual,energy_per_site,density_error,pair_d_rms,spin_odd_rms,charge_modulation_rms,alpha_residual_l2,beta_residual_l2,mu_cdw_residual_l2
18,unmixed_probe,0.0035964282552268657,0.00036768168917484384,-1.035046512186657,2.248945474292441e-11,4.135348452851735e-09,0.02755238194439814,0.002959873926745192,5.388073381757755e-07,0.0005593896535902069,0.0020572156121882617
19,unmixed_probe,0.003527448875722697,0.00034996478508456455,-1.0350506204185683,6.663170015741571e-11,5.802898193684447e-10,0.027568609973642137,0.0029632609208059537,7.533038918833162e-08,0.000549686590232493,0.002017769847814129
20,unmixed_probe,0.0035594577522956488,0.0003469168361211923,-1.0350520935538503,8.592915268224033e-11,7.802874334977987e-11,0.02758214680915214,0.0029661557832888585,1.065832252195434e-08,0.0005543881219856911,0.0020362392158588477
21,unmixed_probe,0.003558073694803271,0.00034543961425161996,-1.0350526676880103,9.166978287566963e-11,1.0300151169364782e-11,0.027594999583259252,0.002968946595370386,1.4446562529497146e-09,0.0005517377985605837,0.002036135505297566
22,linear,0.003551837833332177,0.0003437727005129105,-1.0350528789168507,7.574474381044638e-11,6.4886932249439086e-12,0.027601243811648597,0.002970298236457365,7.970151417903537e-10,0.0005506743507614992,0.0020325941409972802
23,anderson,0.003724532291455322,0.00036031249666471977,-1.03505812007416,9.2280294516911e-11,3.7068215642827145e-11,0.02771580150799544,0.002993461917416123,4.885326363417589e-09,0.0006218511725577462,0.002119902523629249
24,anderson,0.003730422940550203,0.0003640704946853172,-1.0350578840636593,5.126183921788652e-10,4.187697481283991e-11,0.027700654839016448,0.002990522452482909,5.392568658149226e-09,0.0006263867995073862,0.002122215726746155
25,anderson,0.0038965144523452197,0.00039151680990578627,-1.035064624395095,9.579532278536362e-09,1.1880785514233048e-11,0.02789743424202533,0.0030247084057722557,2.5999164345687727e-09,0.0007334516666741666,0.002193164619513559
26,anderson,0.01012819998512585,0.0009865862306985447,-1.035020432115356,9.732414874008555e-11,2.2484220524633058e-10,0.027732193014105858,0.0029983428166358937,2.9903022216759305e-08,0.0029673994155232763,0.005211337897329716
27,anderson,0.004209238050036556,0.0005084635757021116,-1.035055048693113,9.926642841051603e-10,3.1967259640724637e-10,0.027357360322389845,0.0029084919206475907,4.144702957049192e-08,0.0009855000806398351,0.0022966150581906404
28,anderson,0.0038847910737709514,0.00045512901821502007,-1.0350551087963755,4.393674313263318e-11,2.2546458310809478e-10,0.02740764348052824,0.00292266504002819,2.9045836481360173e-08,0.0008179989519556617,0.0021559014468833853
29,anderson,0.004964523174373931,0.0005516589008168933,-1.035041351077307,7.660672096676535e-11,3.376498601956311e-10,0.027525467771928738,0.002954136295603197,4.41602097507642e-08,0.001364719250523732,0.0026066543425534603
30,anderson,0.038249990097144373,0.0035204661198824094,-1.0352067027910228,9.217349106194206e-11,4.2040766559552815e-10,0.028264228095572573,0.003075846260331757,5.516993202124417e-08,0.011713304468920955,0.01997826470580223
